n,t,prefm,postfm
100,0.227228013,0.8872180451127819,0.9117647058823529
200,0.264149007,0.8653061224489796,0.8699186991869918
300,0.325235203,0.8787185354691075,0.8838268792710706
400,0.281848027,0.8773747841105354,0.8734835355285961
500,0.240925903,0.8751835535976505,0.8801169590643275
600,0.398366145,0.8795944233206591,0.8792884371029225
700,0.352276998,0.8824163969795038,0.886021505376344
800,0.529889134,0.8766876687668766,0.8756756756756757
900,0.546155449,0.8804713804713805,0.8860971524288107
1000,0.694708601,0.8765893792071803,0.8779026217228464
1100,0.617990024,0.8821138211382114,0.8842247799593771
1200,0.776474623,0.8797385620915033,0.8825065274151436
1300,0.974555924,0.8801369863013698,0.888385269121813
1400,1.040650172,0.8801742919389978,0.8832156436719174
1500,1.212392063,0.8801591248135257,0.8822652757078987
1600,1.478430578,0.8829337094499294,0.8880562060889929
1700,2.367224378,0.8846830985915493,0.8922942206654991
1800,2.96527468,0.8822800495662949,0.888339513803049
1900,1.846170925,0.8838323353293414,0.885520542481053
2000,2.517008519,0.8880114860014358,0.8933428775948461
2100,2.540438929,0.888089240734077,0.8899280575539569
2200,2.57628232,0.8860244233378561,0.8911426639621366
2300,2.984428481,0.8862647607209447,0.8890959925442684
2400,4.034740207,0.8863844045080719,0.8889566809029896
2500,3.225212176,0.8879765395894428,0.891559202813599
2600,3.540057736,0.8888888888888888,0.8949798038084247
2700,3.839769065,0.890160806759335,0.8927015250544662
2800,4.702783631,0.8894695584008362,0.8904575163398692
2900,4.546922219,0.8880958450165689,0.8920570264765784
3000,4.739162889,0.8889423076923076,0.89437125748503
3100,5.395698554,0.8876013904982619,0.8881670533642692
3200,5.351376823,0.8869249943349196,0.8926553672316384
3300,7.229248076,0.8862007168458781,0.8882907133243607
3400,7.226504754,0.8859259259259259,0.8875238296970981
3500,6.365024035,0.8857563644014307,0.8880471380471381
3600,8.463065932,0.8858316221765914,0.8896636587366694
